,Beast,Shirt,Neck,Hat,Eyes,Best_Friend,Nemesis,Strength,Speed,Endurance,Intelligence,Wisdom,Charisma,Class,Element,Habitat,Attribute_X,Attribute_Y,Attribute Z,D_4_6_8_10_12_20
49,Monkey,Flannel,,,Goggles,#5760,#1749,13,11,15,17,13,14,Warrior,Fire,Plains,27,60,8,"1, 1, 6, 4, 3, 5"
50,Green Cat,White Shirt,Bow Tie,Halo,,#5648,#7510,9,11,14,14,10,15,Warrior,Water,Island,56,54,4,"3, 5, 5, 6, 4, 10"
51,Black Sheep,,,Straw Hat,,#3151,#7483,11,16,15,7,10,13,Warrior,Fire,Mountain,71,37,60,"1, 4, 3, 2, 10, 9"
52,Hippo,Blue Tee,,Brown Hat,Goggles,#3398,#0610,13,9,13,14,13,11,Thief,Fire,Forest,58,50,18,"1, 6, 3, 6, 10, 19"
53,Panda,Green Tee,,Straw Hat,Purple Hero Mask,#2400,#6035,10,14,13,16,9,8,Warrior,Fire,Swamp,30,38,20,"4, 2, 5, 5, 1, 9"
54,Blue Cat,Bee Costume,,Ribbon,Little Glasses,#0923,#7856,12,13,11,15,15,15,Thief,Water,Forest,12,48,6,"3, 1, 8, 5, 9, 18"
55,Polar Bear,Brown Robe,,Blue Bow,Pink Goggles,#1053,#5404,11,14,15,10,12,14,Warrior,Earth,Plains,44,43,1,"2, 6, 3, 10, 9, 7"
56,Panda,Blue Tee,Bow Tie,Pink Cowboy Hat,Steampunk Goggles,#6800,#1611,12,13,11,15,15,13,Thief,Water,Island,62,31,1,"1, 3, 6, 2, 10, 15"
57,Brown Dog,Blue Track Jacket,,,,#1739,#6230,12,13,11,16,10,14,Warrior,Earth,Forest,36,65,10,"2, 3, 8, 6, 7, 13"
58,Black Sheep,Suit,,Pink Fairy Hat,Goggles,#5815,#4723,16,16,13,17,10,12,Mage,Water,Swamp,87,39,8,"3, 3, 6, 10, 9, 13"
59,Fox,Green Tee,,Yellow Bow,,#0124,#2557,15,14,13,14,15,11,Warrior,Fire,Plains,98,54,31,"3, 1, 8, 2, 6, 20"
60,Purple Cat,Red Tee,,Green Party Hat,,#1977,#7475,14,14,10,17,7,12,Thief,Fire,Island,83,54,15,"1, 3, 2, 6, 4, 2"
61,Fox,,,,,#3032,#8232,14,8,16,15,14,16,Mage,Water,Island,15,49,1,"1, 5, 5, 9, 2, 3"
62,Panda,Toga,,,Eyepatch,#2456,#6258,13,9,9,11,13,16,Thief,Fire,Plains,93,54,17,"1, 2, 1, 7, 3, 11"
63,Sheep,,Gold Chain,Green Party Hat,,#8676,#5867,8,10,15,11,14,14,Thief,Air,Island,18,49,10,"2, 4, 1, 4, 2, 8"
64,Hippo,White Tee,Bow Tie,,Eyepatch,#1392,#2173,9,12,10,13,17,11,Thief,Earth,Island,16,72,3,"1, 5, 7, 9, 4, 17"
65,Seagull,,,Straw Hat,Sunglasses,#7550,#0739,13,9,13,11,8,9,Warrior,Earth,Mountain,37,33,8,"1, 3, 5, 8, 9, 3"
66,Purple Monkey,,,,Eyepatch,#5039,#5187,16,11,10,10,13,15,Mage,Water,Mountain,82,63,6,"4, 4, 1, 6, 7, 14"
67,Black Sheep,Green Dress,,Halo,,#3031,#6497,11,12,11,17,15,11,Mage,Water,Forest,62,34,46,"1, 1, 7, 2, 12, 1"
68,Sheep,Overalls,,,Pink Goggles,#0937,#8757,14,16,16,16,12,10,Warrior,Air,Island,62,43,1,"2, 2, 3, 5, 1, 1"
69,Lion,Brown Robe,,Blue Beanie,Pink Goggles,#4025,#6091,14,8,12,13,15,12,Thief,Water,Plains,29,58,10,"2, 2, 2, 3, 3, 8"
70,Purple Hair Lion,Blue Tee,,Purple Top Hat,,#0478,#8337,15,13,11,13,16,14,Warrior,Air,Plains,60,38,4,"1, 6, 8, 4, 4, 10"
71,Fox,Blue Tee,,Yellow Bow,,#7406,#3805,13,18,11,16,12,13,Mage,Water,Swamp,47,37,1,"2, 6, 3, 1, 4, 19"
72,Crow,,,Leaf Crown,Eyepatch,#2031,#7383,10,8,6,7,14,12,Thief,Earth,Swamp,20,52,1,"3, 2, 7, 1, 3, 1"
73,Fox,,,Green Bow,,#6424,#4503,16,13,8,9,14,14,Mage,Air,Forest,24,61,7,"1, 2, 8, 1, 8, 3"
74,Black Bear,Blue Track Jacket,,Top Hat,,#3690,#4060,14,16,15,9,16,12,Thief,Air,Forest,69,34,5,"2, 5, 1, 1, 6, 2"
75,Lion,Red Track Jacket,,Green Party Hat,,#3062,#8247,10,14,13,10,10,13,Mage,Earth,Mountain,69,54,6,"1, 3, 8, 2, 9, 16"
76,Bear,Green Dress,,,,#7506,#1500,17,13,11,11,13,15,Mage,Earth,Island,63,60,41,"1, 1, 4, 10, 12, 3"
77,Sheep,Overalls,,Pink Fairy Hat,,#6562,#8076,17,9,11,10,16,14,Thief,Fire,Mountain,42,55,2,"1, 5, 8, 10, 10, 4"
78,Polar Bear,Toga,,Blue Bow,Sunglasses,#6157,#5450,11,10,16,11,8,14,Warrior,Earth,Swamp,89,33,1,"3, 3, 3, 1, 9, 15"
79,Deer,Green Dress,,Blue Bow,Pink Goggles,#7328,#2872,15,14,18,14,8,13,Thief,Fire,Plains,80,61,3,"2, 4, 1, 9, 3, 12"
80,Sheep,Red Tee,Bow Tie,Green Bow,Pink Goggles,#9689,#3667,6,15,13,9,14,12,Mage,Air,Swamp,7,43,7,"1, 2, 7, 6, 9, 4"
81,Seagull,,,Halo,,#4586,#7072,15,12,14,12,14,15,Thief,Fire,Forest,35,40,35,"2, 1, 5, 1, 3, 3"
82,Hippo,Royal Coat,,Green Party Hat,,#6224,#1795,15,14,12,15,8,12,Mage,Water,Forest,75,54,5,"2, 2, 8, 1, 7, 19"
83,Snek,,,Yellow Bow,,#0092,#4261,9,15,15,16,12,10,Mage,Air,Forest,15,42,3,"1, 2, 8, 4, 10, 8"
84,Monkey,Marching Band,,Brown Hat,Pink Goggles,#1410,#3224,14,14,15,18,13,13,Warrior,Earth,Forest,15,54,28,"1, 3, 6, 6, 6, 1"
85,Deer,Green Tee,,,,#4653,#0187,8,13,11,13,13,16,Warrior,Fire,Swamp,51,47,9,"1, 1, 4, 6, 6, 1"
86,Rabbit,,,Red Beanie,3D Glasses,#4166,#0762,14,13,12,10,8,14,Warrior,Fire,Plains,52,41,13,"1, 6, 6, 1, 8, 20"
87,Pig,Puffy Jacket,,Straw Hat,Sunglasses,#3330,#8918,10,13,14,11,12,13,Mage,Fire,Swamp,4,66,6,"1, 5, 6, 1, 4, 12"
88,Polar Bear,Blazer Tee,,Witches Hat,,#3419,#0173,10,14,12,13,11,13,Thief,Fire,Swamp,54,31,13,"3, 5, 7, 9, 8, 8"
89,Blue Cat,Overalls,,Chefs Hat,,#4759,#5155,12,16,14,15,10,15,Thief,Fire,Plains,63,55,9,"2, 2, 7, 2, 5, 1"
90,Polar Bear,Blue Tank,,Green Bow,Eyepatch,#6414,#8693,12,13,12,14,13,10,Warrior,Air,Swamp,12,41,7,"4, 6, 8, 1, 9, 13"
91,Duck,,,,Little Glasses,#6446,#0738,15,15,12,11,14,15,Warrior,Water,Plains,28,55,23,"1, 1, 1, 6, 9, 14"
92,Dog,Green Tee,Bow Tie,Straw Hat,,#0083,#5084,15,6,10,15,7,13,Warrior,Water,Forest,38,35,9,"3, 1, 1, 5, 8, 15"
93,Rhino,,Gold Chain,Yellow Bow,Pink Goggles,#3565,#2132,13,17,15,13,17,15,Thief,Earth,Forest,36,57,16,"4, 2, 1, 9, 3, 6"
94,Black Sheep,Red Track Jacket,,,,#8312,#6484,14,10,8,11,16,12,Mage,Earth,Swamp,6,61,25,"3, 5, 7, 7, 10, 13"
95,Dog,Red Tank,,Ribbon,Green Hero Mask,#7455,#8081,13,4,12,14,14,16,Mage,Fire,Swamp,4,55,3,"1, 4, 2, 9, 5, 2"
96,Chick,,,,Pink Goggles,#8900,#5286,11,11,11,11,15,9,Mage,Earth,Island,4,60,9,"3, 2, 5, 2, 1, 19"
97,Snek,,,Brown Hat,Eyepatch,#4419,#8299,12,8,10,10,11,13,Thief,Earth,Forest,31,50,8,"2, 2, 3, 9, 3, 19"
98,Sheep,Green Dress,,Yellow Bow,,#2481,#1786,14,10,15,14,13,10,Warrior,Fire,Island,21,52,10,"4, 5, 5, 8, 12, 18"
99,Chick,,,Straw Hat,,#8330,#1181,11,16,14,10,12,11,Mage,Fire,Swamp,5,71,18,"2, 1, 7, 8, 3, 20"
100,Blue Cat,Suit,,Straw Hat,Eyepatch,#0107,#5708,9,9,10,11,11,11,Mage,Water,Forest,46,49,12,"2, 3, 1, 9, 6, 10"
101,Lion,Blazer Tee,,Blue Bow,,#4981,#1150,11,17,8,11,14,11,Mage,Air,Island,26,75,23,"2, 4, 2, 10, 3, 7"
102,Fox,Purple Robe,,Halo and Wings,,#7182,#8847,17,11,14,11,9,10,Warrior,Air,Swamp,32,38,1,"1, 1, 3, 8, 1, 15"
103,Blue Cat,White Shirt,,Viking Helmet,Sunglasses,#8316,#8185,12,16,13,10,13,10,Warrior,Water,Swamp,77,55,1,"3, 4, 5, 7, 7, 18"
104,Purple Monkey,Green Tee,,Top Hat,,#5901,#9553,12,8,14,15,13,13,Warrior,Air,Swamp,95,53,8,"2, 2, 2, 1, 11, 17"
105,Green Cat,Blue Tee,,Halo,,#0276,#1287,14,12,10,11,12,11,Warrior,Fire,Plains,7,42,6,"1, 6, 4, 8, 11, 2"
106,Dog,Brown Robe,,Purple Top Hat,,#7543,#2459,13,13,15,13,14,10,Mage,Earth,Mountain,61,51,3,"2, 1, 5, 9, 6, 16"
107,Fox,Marching Band,,Purple Top Hat,,#0100,#3750,11,9,14,15,14,13,Warrior,Earth,Forest,23,48,5,"3, 2, 2, 5, 8, 11"
108,Purple Monkey,,,,,#8290,#6464,14,16,10,18,6,9,Mage,Fire,Mountain,86,68,30,"4, 6, 5, 7, 4, 7"
109,Chick,,,Chefs Hat,,#1924,#8582,7,13,9,11,14,14,Warrior,Air,Swamp,73,40,2,"2, 2, 3, 5, 12, 3"
110,Sheep,Brown Robe,,Pink Fairy Hat,,#6837,#8162,14,13,10,9,16,10,Thief,Fire,Plains,40,53,41,"2, 2, 4, 3, 11, 6"
111,Dog,Suit,,,,#3704,#0554,12,12,13,14,16,17,Mage,Water,Forest,89,45,9,"2, 3, 4, 2, 5, 10"
112,Polar Bear,Suit,,Viking Helmet,,#7111,#6128,18,12,11,14,15,13,Warrior,Air,Island,49,50,40,"4, 2, 7, 5, 1, 12"
113,Bear,Royal Coat,,Viking Helmet,,#9288,#2412,14,14,9,8,15,13,Warrior,Fire,Island,34,52,29,"3, 5, 4, 9, 6, 6"
114,Purple Dragon,Brown Robe,,,,#8697,#4503,11,12,11,13,13,13,Warrior,Fire,Swamp,83,57,16,"3, 2, 1, 9, 7, 14"
115,Brown Dog,Toga,,,Goggles,#9700,#2608,11,10,16,8,9,13,Thief,Air,Mountain,16,30,2,"2, 3, 2, 8, 8, 6"
116,Poison Snek,,,Straw Hat,Monocle,#6520,#5401,16,13,11,12,13,16,Mage,Water,Swamp,85,43,2,"4, 1, 5, 3, 4, 12"
117,Purple Dragon,Overalls,,,,#1557,#9642,17,16,15,9,10,16,Thief,Water,Forest,26,45,49,"4, 3, 8, 1, 1, 16"
118,Poison Snek,,,Top Hat,Monocle,#3563,#3658,12,12,16,13,12,11,Thief,Fire,Island,71,45,4,"4, 1, 3, 8, 8, 6"
119,Minotaur,Royal Coat,,Pink Cowboy Hat,,#4875,#1835,9,14,12,16,18,12,Mage,Earth,Mountain,75,61,40,"4, 4, 2, 2, 3, 20"
120,Fox,,,Brown Hat,Eyepatch,#1264,#2612,14,12,11,13,11,8,Warrior,Water,Mountain,36,53,1,"4, 2, 7, 4, 8, 12"
121,Rabbit,,,Pink Cowboy Hat,Sunglasses,#6203,#3995,17,13,14,13,18,16,Thief,Fire,Forest,93,60,27,"2, 4, 1, 7, 8, 2"
122,Poison Snek,,,Pink Cowboy Hat,Eyepatch,#3857,#1157,7,16,9,14,14,12,Mage,Fire,Forest,36,33,15,"2, 1, 1, 4, 9, 18"
123,Elephant,Black Jacket,,Brown Hat,Pink Goggles,#8827,#5822,13,13,15,14,14,6,Warrior,Earth,Plains,38,46,4,"4, 6, 7, 7, 6, 9"
124,Snek,,,Top Hat,,#0059,#2638,15,8,15,7,12,13,Mage,Water,Forest,35,64,30,"2, 5, 8, 1, 10, 12"
125,Siberian Tiger,,,Blue Bow,,#2290,#5202,11,8,12,7,11,10,Thief,Earth,Island,20,34,5,"4, 3, 3, 8, 8, 7"
126,Penguin,,,Viking Helmet,Steampunk Goggles,#7677,#6651,15,9,12,11,9,12,Warrior,Water,Swamp,77,60,2,"2, 3, 7, 9, 11, 19"
127,Golden Bear,Black Hoodie,,Viking Helmet,,#1005,#9808,12,18,7,15,9,10,Warrior,Earth,Forest,22,48,5,"2, 3, 6, 7, 9, 6"
128,Duck,,,Brown Hat,Pink Goggles,#2950,#3098,12,14,13,14,16,12,Warrior,Fire,Plains,31,44,2,"2, 3, 8, 6, 5, 18"
129,Golden Bear,Red Tee,,Purple Top Hat,,#9929,#8759,15,14,14,18,11,14,Mage,Fire,Swamp,47,56,1,"2, 2, 6, 10, 7, 9"
130,Green Cat,Red Tee,,Blue Bow,Eyepatch,#0887,#4707,12,16,10,7,14,14,Mage,Fire,Island,86,57,1,"2, 6, 6, 8, 2, 1"
131,Cardinal,,,Halo,Green Hero Mask,#0502,#1043,13,11,18,11,13,13,Thief,Air,Plains,50,73,1,"4, 2, 8, 5, 11, 13"
132,Purple Cat,Suit,,Viking Helmet,,#4649,#5685,11,15,10,15,15,13,Thief,Water,Swamp,27,45,16,"1, 6, 4, 2, 12, 12"
133,Blue Cat,,,Brown Hat,Eyepatch,#5219,#0403,8,13,14,14,13,17,Warrior,Water,Forest,51,34,1,"4, 2, 8, 2, 12, 11"
134,Penguin,,,Green Bow,,#6336,#6577,11,17,11,12,12,16,Thief,Water,Island,57,43,2,"3, 6, 2, 3, 7, 6"
135,Pig,Red Track Jacket,,Brown Hat,Little Glasses,#2287,#3367,13,10,7,14,17,13,Mage,Air,Forest,85,20,13,"3, 4, 1, 9, 2, 20"
136,Deer,Purple Robe,,Straw Hat,,#0595,#7443,11,11,14,12,12,15,Warrior,Water,Plains,100,40,1,"4, 2, 5, 2, 2, 9"
137,Duck,,,Pink Fairy Hat,,#6625,#3815,9,9,14,10,9,12,Thief,Fire,Forest,4,50,14,"1, 6, 2, 5, 9, 1"
138,Duck,,,Straw Hat,Sunglasses,#8046,#5654,15,11,9,17,12,10,Mage,Fire,Swamp,52,37,22,"2, 3, 4, 1, 3, 15"
139,Pink Bear,,,Blue Party Hat,Pink Goggles,#9783,#9885,11,15,14,13,15,17,Warrior,Earth,Forest,8,61,1,"3, 2, 3, 10, 1, 14"
140,Chick,,,Ribbon,,#0923,#6336,11,11,9,16,11,16,Thief,Fire,Swamp,14,39,3,"1, 4, 4, 5, 8, 2"
141,Duck,,,,,#7135,#0887,18,8,10,11,11,15,Warrior,Air,Plains,94,46,5,"4, 3, 8, 2, 1, 2"
142,Chick,,,Straw Hat,Eyepatch,#8094,#8367,10,13,6,11,14,17,Warrior,Earth,Swamp,70,50,6,"3, 5, 8, 1, 4, 11"
143,Deer,Red Tank,Gold Chain,Ribbon,Goggles,#4305,#7842,11,13,11,12,12,10,Warrior,Earth,Plains,18,36,10,"2, 3, 4, 1, 11, 8"
144,Brown Dog,Armor and Cape,,Green Party Hat,,#6318,#4842,15,11,11,14,9,15,Mage,Water,Island,3,46,28,"3, 1, 5, 4, 9, 15"
145,Blue Cat,Overalls,,Yellow Bow,Monocle,#7624,#5442,16,13,14,7,8,8,Thief,Fire,Island,21,36,1,"3, 2, 7, 9, 12, 15"
146,Blue Cat,Red Tee,Bow Tie,Top Hat,,#0041,#4144,6,16,10,16,13,11,Warrior,Fire,Swamp,83,62,4,"1, 3, 7, 1, 5, 8"
147,Rhino,White Tank,Gold Chain,Top Hat,3D Glasses,#7114,#3039,11,9,10,14,13,11,Mage,Fire,Island,47,49,21,"1, 2, 7, 4, 5, 17"
148,Elephant,,,Blue Beanie,,#8236,#5984,14,11,17,14,16,9,Mage,Air,Swamp,79,61,1,"4, 4, 3, 5, 7, 1"
149,Snek,,,,,#5645,#1666,15,8,14,17,16,13,Warrior,Air,Forest,77,49,12,"2, 3, 4, 9, 12, 9"
150,Monkey,,,Top Hat,Monocle,#7448,#8703,16,15,14,15,12,11,Mage,Air,Island,71,39,16,"2, 1, 8, 2, 7, 10"
151,Purple Cat,Green Tee,,Pink Fairy Hat,,#3120,#3827,10,11,15,16,11,14,Warrior,Earth,Island,32,37,5,"4, 3, 8, 5, 7, 14"
152,Rhino,Royal Coat,,Lightbulb,,#6571,#7134,12,13,14,14,14,12,Mage,Air,Island,1,37,2,"4, 4, 8, 10, 9, 6"
153,Deer,Armor and Cape,,Brown Hat,,#7183,#4924,16,14,10,13,12,15,Mage,Air,Mountain,26,40,1,"1, 2, 3, 8, 7, 12"
154,Black Bear,Overalls,,Top Hat,,#8154,#6637,11,15,15,14,13,11,Thief,Fire,Forest,37,33,16,"3, 3, 2, 2, 12, 10"
155,Hippo,Bee Costume,,Brown Hat,Eyepatch,#9253,#9694,11,14,16,11,12,13,Thief,Fire,Swamp,64,42,18,"4, 5, 6, 5, 10, 12"
156,Poison Snek,,,,Steampunk Goggles,#7564,#3667,9,11,12,7,13,11,Thief,Air,Forest,9,55,10,"4, 4, 1, 4, 10, 10"
157,Panda,Green Tee,Gold Chain,Pink Fairy Hat,,#9249,#7816,11,13,17,14,14,11,Mage,Fire,Mountain,24,49,27,"4, 2, 4, 8, 8, 12"
158,Sheep,Royal Coat,,Top Hat,,#4134,#6164,12,13,14,12,14,10,Mage,Air,Swamp,24,49,1,"4, 5, 2, 5, 7, 7"
159,Dog,Overalls,,Blue Party Hat,,#4913,#3150,13,17,15,13,13,14,Mage,Water,Island,7,64,1,"2, 3, 5, 8, 4, 3"
160,Brown Dog,,,Leaf Crown,Steampunk Goggles,#2662,#1099,13,11,14,8,13,12,Warrior,Air,Forest,98,42,4,"4, 2, 5, 5, 6, 15"
161,Polar Bear,,Gold Chain,Crown,,#1894,#8538,14,15,12,14,14,13,Thief,Air,Forest,24,63,1,"2, 2, 2, 6, 3, 20"
162,Purple Monkey,Green Tee,,Pink Fairy Hat,,#7421,#6019,11,12,11,12,10,11,Mage,Water,Plains,36,72,7,"3, 4, 5, 6, 6, 8"
163,Poison Snek,,,Blue Beanie,,#4573,#8793,15,8,15,8,13,14,Mage,Air,Swamp,74,50,6,"4, 4, 2, 5, 12, 16"
164,Elephant,Red Tee,,,,#8427,#0485,9,14,13,11,10,11,Warrior,Fire,Island,37,19,11,"1, 2, 5, 6, 2, 9"
165,Black Bear,Toga,,,,#1959,#0232,13,15,14,14,12,16,Warrior,Water,Plains,34,57,5,"4, 5, 6, 3, 6, 4"
166,Fox,,,Top Hat,,#4266,#9380,7,12,9,9,11,10,Thief,Earth,Island,98,48,4,"4, 5, 2, 2, 8, 4"
167,Siberian Tiger,Brown Robe,,Brown Hat,,#0288,#1234,13,8,14,10,9,17,Mage,Earth,Forest,15,65,12,"2, 1, 5, 6, 10, 16"
168,Monkey,White Tank,,Top Hat,,#0654,#4175,11,10,16,10,17,10,Thief,Fire,Island,51,47,8,"2, 5, 3, 10, 12, 9"
169,Dog,,Bow Tie,Blue Party Hat,,#7184,#5259,18,11,11,10,10,18,Mage,Air,Forest,35,58,21,"1, 6, 2, 6, 9, 13"
170,Golden Bear,Puffy Jacket,,Ribbon,,#3540,#0873,15,9,12,13,13,13,Mage,Fire,Mountain,98,45,4,"3, 1, 7, 2, 10, 17"
171,Tiger,White Jacket,,Green Bow,Pink Goggles,#3741,#8379,11,14,10,12,16,17,Mage,Earth,Forest,72,60,15,"1, 5, 8, 9, 9, 18"
